source_result_dir,case_id,mask_strategy,mask_intensity,seed,decision_index,m3star_action_id,m3star_action_cost,xgboost_action_id,logistic_action_id,experts_agree,candidate_action_id,candidate_action_cost,candidate_reachability,candidate_action_value_probability,m3star_action_value_probability,candidate_action_cost_to_go,m3star_action_cost_to_go,xgboost_candidate_probability,xgboost_m3star_probability,xgboost_candidate_utility,xgboost_m3star_utility,logistic_candidate_probability,logistic_m3star_probability,logistic_candidate_utility,logistic_m3star_utility,candidate_intended_gap_precision,m3star_intended_gap_precision,candidate_intended_gap_recall,m3star_intended_gap_recall,candidate_critical_gap_overlap,m3star_critical_gap_overlap,candidate_transition_reachability,m3star_transition_reachability,candidate_transition_noninferior,candidate_differs_from_m3star,consensus_substitution_eligible,transition_gated_substitution_eligible,xgboost_episode_success,logistic_episode_success,candidate_recovered_count,m3star_recovered_count,candidate_zero_yield_offline,m3star_zero_yield_offline
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,random,0.6,23,2,C07-AA-002,2.0,C07-AA-002,C07-AA-002,1,C07-AA-002,2.0,0.998214840888977,0.8929557204246521,0.8929557204246521,1.9106582403182983,1.9106582403182983,0.923555850982666,0.923555850982666,0.7235558509826661,0.7235558509826661,0.7446306114685425,0.7446306114685425,0.5446306114685424,0.5446306114685424,0.5,0.5,1.0,1.0,1.0,1.0,0.9983497858047485,0.9983497858047485,1,0,0,0,1,1,1,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,random,0.6,37,0,C07-AA-004,2.0,C07-AA-002,C07-AA-001,0,,,,,,,,,0.8111276030540466,,0.6111276030540467,,0.1556364308560396,,-0.04436356914396042,,,,,,,,,0,0,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,random,0.6,37,1,C07-AA-001,1.0,C07-AA-002,C07-AA-001,0,,,,,,,,,0.6904044151306152,,0.5904044151306153,,0.5934936141403899,,0.49349361414038995,,,,,,,,,0,0,0,0,1,1,0,0,0,1
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,random,0.6,37,2,C07-AA-002,2.0,C07-AA-002,C07-AA-002,1,C07-AA-002,2.0,0.998214840888977,0.8929557204246521,0.8929557204246521,1.9106582403182983,1.9106582403182983,0.923555850982666,0.923555850982666,0.7235558509826661,0.7235558509826661,0.7446306114685425,0.7446306114685425,0.5446306114685424,0.5446306114685424,0.5,0.5,1.0,1.0,1.0,1.0,0.9983497858047485,0.9983497858047485,1,0,0,0,1,1,1,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,random,0.6,41,0,C07-AA-004,2.0,C07-AA-002,C07-AA-001,0,,,,,,,,,0.8111276030540466,,0.6111276030540467,,0.1556364308560396,,-0.04436356914396042,,,,,,,,,0,0,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,random,0.6,41,1,C07-AA-001,1.0,C07-AA-002,C07-AA-001,0,,,,,,,,,0.6904044151306152,,0.5904044151306153,,0.5934936141403899,,0.49349361414038995,,,,,,,,,0,0,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,random,0.6,53,0,C07-AA-003,1.0,C07-AA-002,C07-AA-001,0,,,,,,,,,0.43404683470726013,,0.33404683470726015,,0.17512307441477865,,0.07512307441477864,,,,,,,,,0,0,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.2,11,0,C07-AA-001,1.0,C07-AA-002,C07-AA-001,0,,,,,,,,,0.6723805069923401,,0.5723805069923401,,0.2810105832526592,,0.1810105832526592,,,,,,,,,0,0,0,0,1,1,0,1,0,0
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.2,23,0,C07-AA-001,1.0,C07-AA-002,C07-AA-001,0,,,,,,,,,0.6723805069923401,,0.5723805069923401,,0.2810105832526592,,0.1810105832526592,,,,,,,,,0,0,0,0,1,1,0,0,0,1
09-experiments/results/m3star_measured_replay_prefeedback_c07_c10_v0.7,C07-darpa-e5-theia-0515,stage,0.2,23,1,C07-AA-002,2.0,C07-AA-002,C07-AA-002,1,C07-AA-002,2.0,0.9972466230392456,0.8929557204246521,0.8929557204246521,1.9102389812469482,1.9102389812469482,0.9174831509590149,0.9174831509590149,0.7174831509590149,0.7174831509590149,0.4383887205377668,0.4383887205377668,0.23838872053776677,0.23838872053776677,0.5,0.5,1.0,1.0,1.0,1.0,0.9983189702033997,0.9983189702033997,1,0,0,0,1,1,1,1,0,0
